TNR,TPR,attack,attack_params,attacked_policy,balanced_accuracy,detector,detector_params,matrix,norm,other_reward,other_reward_std,recovered_reward,recovered_reward_std,recovery,recovery_params
0.6519269529102791,0.3482571154461145,STAttack,"epsilon: 0.1, beta: 0.9, total: 100, temperature: 3",PT1,0.5000920341781968,Kernel_Density,,[[10674.  5699.]  [ 2038.  1089.]],z-score,-1069146.33,100550.30999999998,5223.37,376.72914421371746,KNNRecovery,"k: 5, consider_next_state: False"
0.7720364741641338,0.19672131147540983,STAttack,"epsilon: 0.1, beta: 0.9, total: 100, temperature: 3",PT1,0.4843788928197718,Kernel_Density,,[[12700.  3750.]  [ 2450.   600.]],z-score,-227270.0,0.0,199.01,1918.0700000000002,KNNRecovery,"k: 10, consider_next_state: False"
0.35822695035460994,0.7037037037037037,UniformAttack,"epsilon: 0.1, freq: 0.25",PT1,0.5309653270291568,Kernel_Density,,[[5051. 9049.]  [1600. 3800.]],z-score,-293550.86,37.519999999999996,-61886.17,4792.147392985738,KNNRecovery,"k: 1, consider_next_state: False"
0.4574468085106383,0.5092592592592593,UniformAttack,"epsilon: 0.1, freq: 0.25",PT1,0.48335303388494877,Kernel_Density,,[[6450. 7650.]  [2650. 2750.]],z-score,-1442796.5,0.0,25009.43,9033.99,KNNRecovery,"k: 3, consider_next_state: False"
0.299645390070922,0.7638888888888888,UniformAttack,"epsilon: 0.1, freq: 0.25",PT1,0.5317671394799054,Kernel_Density,,[[4225. 9875.]  [1275. 4125.]],z-score,-93753.5,9070.0,-89206.46,51182.73506133098,KNNRecovery,"k: 5, consider_next_state: False"
0.5709219858156028,0.4722222222222222,UniformAttack,"epsilon: 0.1, freq: 0.25",PT1,0.5215721040189125,Kernel_Density,,[[8050. 6050.]  [2850. 2550.]],z-score,-843773.0,0.0,-67462.8,3389.3999999999996,KNNRecovery,"k: 10, consider_next_state: False"
0.7150997150997151,0.26119078661451545,VFAttack,"epsilon: 0.1, beta: 9",PT1,0.4881452508571153,Kernel_Density,,[[12299.  4900.]  [ 1700.   601.]],z-score,-277051.56,14.42,-23291.07,2867.1733222984617,KNNRecovery,"k: 1, consider_next_state: False"
0.7025153374233128,0.390625,VFAttack,"epsilon: 0.1, beta: 9",PT1,0.5465701687116564,Kernel_Density,,[[11451.  4849.]  [ 1950.  1250.]],z-score,-3757202.5,0.0,-323964.03,41891.289999999986,KNNRecovery,"k: 3, consider_next_state: False"
0.7545962732919255,0.4264705882352941,VFAttack,"epsilon: 0.1, beta: 9",PT1,0.5905334307636098,Kernel_Density,,[[12149.  3951.]  [ 1950.  1450.]],z-score,-925167.5,0.0,11700.76,48385.67999999999,KNNRecovery,"k: 5, consider_next_state: False"
0.7536389684813753,0.36585365853658536,VFAttack,"epsilon: 0.1, beta: 9",PT1,0.5597463135089804,Kernel_Density,,[[13151.  4299.]  [ 1300.   750.]],z-score,-722043.0,0.0,-89449.3,16034.9,KNNRecovery,"k: 10, consider_next_state: False"
